,Epochs,Lowest MAE,Lowest MSE,Smoothed Epochs,Lowest MAE Smoothed,Lowest MSE Smoothed,"R: 7, 7","R: 8, 7","R: 9, 7","R: 10, 7","R: 11, 7","R: 12, 7","R: 13, 7","R: 7, 8","R: 8, 8","R: 9, 8","R: 10, 8","R: 11, 8","R: 12, 8","R: 7, 9","R: 8, 9","R: 9, 9","R: 10, 9","R: 11, 9","R: 7, 10","R: 8, 10","R: 9, 10","R: 10, 10","R: 7, 11","R: 8, 11","R: 9, 11","R: 7, 12","R: 8, 12","R: 7, 13","MAE: 7, 7","MAE: 8, 7","MAE: 9, 7","MAE: 10, 7","MAE: 11, 7","MAE: 12, 7","MAE: 13, 7","MAE: 7, 8","MAE: 8, 8","MAE: 9, 8","MAE: 10, 8","MAE: 11, 8","MAE: 12, 8","MAE: 7, 9","MAE: 8, 9","MAE: 9, 9","MAE: 10, 9","MAE: 11, 9","MAE: 7, 10","MAE: 8, 10","MAE: 9, 10","MAE: 10, 10","MAE: 7, 11","MAE: 8, 11","MAE: 9, 11","MAE: 7, 12","MAE: 8, 12","MAE: 7, 13"
84,85,0.0778171494603157,0.010825932491570711,85,0.08082948455129291,0.011589540188588383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,86,0.07893547974526882,0.011189055512659252,86,0.08026128310948569,0.011469394785809644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,87,0.079408323392272,0.010759627213701606,87,0.08000539519432158,0.011256464514177233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,88,0.08260589465498924,0.011694689514115453,88,0.08078554503252187,0.011387932014158698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,89,0.07724835071712732,0.010366390459239483,89,0.07972438673790351,0.011081469547682934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,90,0.07959634624421597,0.010991950752213597,90,0.07968597458979725,0.011054613909042133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,91,0.07482466287910938,0.009720971807837486,91,0.07822758107659089,0.010654521278680738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92,0.07264428026974201,0.009673673426732421,92,0.07655259083453622,0.010360266923096243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,93,0.0778613742440939,0.010400980012491345,93,0.07694522585740352,0.010372480849914774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,94,0.07417378667742014,0.009780775872059166,94,0.0761137941034085,0.010194969356558092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
