Ti-200-24hre-1 (1st measurement),,Ti-200-24hre-1 (2nd measurement),,Ti-200-24hre-2 (1st measurement),
s,V,s,V,s,V
249,-0.00351584,249,-0.032391071,249,-0.016828537
250,-0.00351584,250,-0.032203674,250,-0.016734481
251,-0.129517615,251,-0.155674338,251,-0.16523695
252,-0.129517615,252,-0.155486763,252,-0.165049374
253,-0.129423916,253,-0.154830515,253,-0.164674401
254,-0.129423916,254,-0.15464294,254,-0.164018154
255,-0.129423916,255,-0.154549241,255,-0.16373688
256,-0.129423916,256,-0.15408057,256,-0.163643181
257,-0.129330218,257,-0.153424323,257,-0.163549483
258,-0.129423916,258,-0.153143048,258,-0.163080633
259,-0.129423916,259,-0.152861774,259,-0.162518084
260,-0.129423916,260,-0.152299225,260,-0.16223681
261,-0.129423916,261,-0.151830554,261,-0.162143111
262,-0.129423916,262,-0.151642978,262,-0.162049413
263,-0.129423916,263,-0.151361704,263,-0.161580563
264,-0.129423916,264,-0.150799155,264,-0.161018193
265,-0.129423916,265,-0.150330484,265,-0.160736918
266,-0.129423916,266,-0.150142908,266,-0.160643041
267,-0.129330218,267,-0.149955511,267,-0.160549343
268,-0.129423916,268,-0.149580359,268,-0.160268068
269,-0.129423916,269,-0.149111688,269,-0.15970552
270,-0.129423916,270,-0.148830414,270,-0.159330547
271,-0.129423916,271,-0.148642838,271,-0.159236848
272,-0.129423916,272,-0.148549139,272,-0.15914315
273,-0.129423916,273,-0.148267865,273,-0.158955574
274,-0.129423916,274,-0.147799194,274,-0.158486903
275,-0.129517615,275,-0.14751792,275,-0.158018053
276,-0.129517615,276,-0.147236645,276,-0.157736778
277,-0.129517615,277,-0.147142947,277,-0.15764308
278,-0.129517615,278,-0.147049069,278,-0.15764308
279,-0.129611313,279,-0.146861672,279,-0.157361805
280,-0.129611313,280,-0.1464867,280,-0.156893134
281,-0.129611313,281,-0.146205425,281,-0.156424284
282,-0.129705191,282,-0.145924151,282,-0.156236708
283,-0.129705191,283,-0.145736575,283,-0.15614301
284,-0.129798889,284,-0.145642877,284,-0.15614301
285,-0.129798889,285,-0.145549178,285,-0.155955613
286,-0.129892588,286,-0.145455301,286,-0.155486763
287,-0.129986465,287,-0.145174205,287,-0.155018091
288,-0.129986465,288,-0.144892931,288,-0.154736817
289,-0.130080163,289,-0.144705355,289,-0.154736817
290,-0.130080163,290,-0.144424081,290,-0.15464294
291,-0.130173862,291,-0.144330382,291,-0.154549241
292,-0.13026756,292,-0.144236684,292,-0.154267967
293,-0.13026756,293,-0.144142807,293,-0.153799295
294,-0.130361438,294,-0.144142807,294,-0.153424323
295,-0.130361438,295,-0.144049108,295,-0.153236747
296,-0.130455136,296,-0.14395541,296,-0.153143048
297,-0.130455136,297,-0.143767834,297,-0.153143048
298,-0.130455136,298,-0.143486559,298,-0.153049171
299,-0.130548835,299,-0.143392861,299,-0.152768075
300,-0.130548835,300,-0.143205285,300,-0.152299225
301,-0.00351584,301,-0.019640923,301,-0.030234933
302,-0.003328085,302,-0.020016074,302,-0.030141234
